baseline,mode,budget,detection_rate,detected,denominator
source_literal_char_interleave,concrete_policy,1,0.40540540540540543,15,37
source_literal_char_interleave,concrete_policy,2,0.6756756756756757,25,37
source_literal_char_interleave,concrete_policy,4,0.8108108108108109,30,37
source_literal_char_interleave,concrete_policy,8,0.8918918918918919,33,37
source_literal_char_interleave,concrete_policy,16,0.918918918918919,34,37
source_literal_char_interleave,concrete_policy,32,0.918918918918919,34,37
literal_first_concatenation,concrete_policy,1,0.4864864864864865,18,37
literal_first_concatenation,concrete_policy,2,0.7297297297297297,27,37
literal_first_concatenation,concrete_policy,4,0.8108108108108109,30,37
literal_first_concatenation,concrete_policy,8,0.8918918918918919,33,37
literal_first_concatenation,concrete_policy,16,0.918918918918919,34,37
literal_first_concatenation,concrete_policy,32,0.918918918918919,34,37
generic_type_boundaries,concrete_policy,1,0.40540540540540543,15,37
generic_type_boundaries,concrete_policy,2,0.43243243243243246,16,37
generic_type_boundaries,concrete_policy,4,0.6216216216216216,23,37
generic_type_boundaries,concrete_policy,8,0.8648648648648649,32,37
generic_type_boundaries,concrete_policy,16,0.8648648648648649,32,37
generic_type_boundaries,concrete_policy,32,0.8648648648648649,32,37
fixture_neighbor_only,concrete_policy,1,0.40540540540540543,15,37
fixture_neighbor_only,concrete_policy,2,0.5135135135135135,19,37
fixture_neighbor_only,concrete_policy,4,0.5945945945945946,22,37
fixture_neighbor_only,concrete_policy,8,0.6756756756756757,25,37
fixture_neighbor_only,concrete_policy,16,0.7027027027027027,26,37
fixture_neighbor_only,concrete_policy,32,0.7027027027027027,26,37
libFuzzer,evaluation_count,1,0.40540540540540543,,37
libFuzzer,evaluation_count,2,0.40540540540540543,,37
libFuzzer,evaluation_count,4,0.40540540540540543,,37
libFuzzer,evaluation_count,8,0.41081081081081083,,37
libFuzzer,evaluation_count,16,0.5306306306306307,,37
libFuzzer,evaluation_count,32,0.6288288288288288,,37
libFuzzer,evaluation_count,128,0.8162162162162162,,37
libFuzzer,evaluation_count,1024,0.972972972972973,,37
