metric,count
label:no_mismatch_under_exact_audit_domain,275
label:non_evaluable,345
label:semantic_wrong,20
fixture_replay:fixture_failing_semantic_wrong,19
fixture_replay:fixture_passing_semantic_wrong,1
non_evaluable_reason:llm4decompile_exception,80
non_evaluable_reason:compiler_unavailable:clang,80
non_evaluable_reason:api_exception,67
non_evaluable_reason:compile_failure,60
non_evaluable_reason:target_symbol_or_disassembly_missing,39
non_evaluable_reason:runtime_failure_1,18
non_evaluable_reason:runtime_failure_124,1
